RIC,Trade Date,Open Price,High Price,Low Price,Universal Close Price,Volume
EUR=,2000-04-26,.9209,.9251,.9172,.9236,
EUR=,2000-04-25,.9387,.9395,.916,.9208,
EUR=,2000-04-24,.9381,.9449,.9365,.9383,
EUR=,2000-04-21,.9379,.9396,.936,.9381,
EUR=,2000-04-20,.9401,.9423,.9346,.9377,
EUR=,2000-04-19,.945,.9488,.9352,.9403,
EUR=,2000-04-18,.9521,.9524,.9438,.9457,
EUR=,2000-04-17,.9642,.9671,.9515,.9522,
EUR=,2000-04-14,.9525,.9621,.9506,.9619,
EUR=,2000-04-13,.9587,.9594,.9512,.9523,
EUR=,2000-04-12,.9585,.96,.9518,.9586,
EUR=,2000-04-11,.9623,.9647,.9561,.9589,
EUR=,2000-04-10,.9543,.9627,.953,.9624,
EUR=,2000-04-07,.9581,.9615,.9534,.9547,
EUR=,2000-04-06,.9602,.9643,.9563,.9577,
EUR=,2000-04-05,.9612,.971,.959,.9621,
EUR=,2000-04-04,.9536,.975,.9511,.9602,
EUR=,2000-04-03,.956,.9603,.95,.9548,
EUR=,2000-03-31,.9611,.9627,.9525,.956,
EUR=,2000-03-30,.9508,.9621,.9505,.9609,
EUR=,2000-03-29,.9601,.9603,.9476,.9514,
EUR=,2000-03-28,.9669,.97,.9598,.9603,
EUR=,2000-03-27,.9769,.9788,.963,.9665,
EUR=,2000-03-24,.9714,.9776,.9669,.9769,
EUR=,2000-03-23,.9605,.9727,.9599,.9716,
EUR=,2000-03-22,.9612,.963,.9573,.961,
EUR=,2000-03-21,.9731,.9736,.9631,.9639,
EUR=,2000-03-20,.9725,.9746,.9681,.973,
EUR=,2000-03-17,.9695,.9727,.9655,.972,
EUR=,2000-03-16,.966,.9739,.9644,.9713,
EUR=,2000-03-15,.9681,.9711,.9636,.9672,
EUR=,2000-03-14,.9634,.9681,.9592,.968,
EUR=,2000-03-13,.9624,.9728,.9614,.9645,
EUR=,2000-03-10,.9665,.9685,.9595,.9628,
EUR=,2000-03-09,.9605,.97,.9593,.9662,
EUR=,2000-03-08,.958,.9631,.9519,.9605,
EUR=,2000-03-07,.9588,.9625,.9524,.9596,
EUR=,2000-03-06,.9574,.967,.9555,.9592,
EUR=,2000-03-03,.9645,.9677,.9585,.9597,
EUR=,2000-03-02,.9732,.9794,.9612,.9642,
EUR=,2000-03-01,.9643,.9767,.9623,.9734,
EUR=,2000-02-29,.9716,.9864,.9615,.9646,
EUR=,2000-02-28,.9746,.9746,.939,.9717,
EUR=,2000-02-25,.9926,.9927,.972,.9742,
EUR=,2000-02-24,1.0034,1.004,.9886,.9929,
EUR=,2000-02-23,1.0037,1.0089,1.0007,1.0028,
